date,ANO_flatID,ANO_pointID,collector,habitat,NiN_type,species,individual_nr,plant_height_cm,length_lb_cm,nr_segments_lb,Segment,length_mm,nr_leaves,nr_scars,nr_branch_scars,nr_side_branches,nr_fruits,nr_fruit_buds,leaf_weight,stem_weight,branches_weight,fruit_weight,fruitbuds_weight,sidebranches_weight,remarks,UniqueID,UniqueID_Sonya,UniqueID_Plant,Herbarium_Yes/No,Weighed_Yes/No,Weighed and Bag found
,,,,,,,,,,,S22,57,0,3,4,4,0,,0,0.09463,0.41013,0,,,,,___,____,,,
8.7.2024,239,26,AH,,T4-C-5,vm,1,14.2,13.2,4,S24,16,5,5,,,0,,0,0.01379,0.00239,0,,,,,239_26_T4-C-5_vm,239_26_T4-C-5_vm_1,,Yes,Yes
,,,,,,,,,,,S23,52,0,2,4,4,0,,0,0.03615,0.07956,0,,,,,___,____,,,
,,,,,,,,,,,S22,34,0,2,3,3,0,,0,0.0172,0.03834,0,,,,,___,____,,,
8.7.2024,239,26,AH,,T4-C-5,vm,2,16.3,15.7,5,S24,34,7,7,,,0,,0.01504,0.00741,0,0,,,,,239_26_T4-C-5_vm,239_26_T4-C-5_vm_2,,Yes,Yes
,,,,,,,,,,,S23,64,0,9,2,2,0,,0,0.01072,0.02883,0,,,,,___,____,,,
,,,,,,,,,,,S22,26,0,4,2,2,0,,0,0.04321,0.06303,0,,,,,___,____,,,
8.7.2024,239,26,AH,,T4-C-5,vm,3,14.4,17.7,7,S24,17,5,5,,,0,,0.01462,0.00336,0,0,,,,,239_26_T4-C-5_vm,239_26_T4-C-5_vm_3,,Yes,Yes
,,,,,,,,,,,S23,23,0,3,1,1,0,,0,0.00677,0.0077,0,,,,,___,____,,,
,,,,,,,,,,,S22,21,0,4,1,1,0,,0,0.00813,0.01857,0,,,,,___,____,,,
8.7.2024,239,46,AH,,T4-C-1,vm,1,26.4,22.7,5,S24,42,7,7,,,0,,0.03612,0.0156,0,0,,,,,239_46_T4-C-1_vm,239_46_T4-C-1_vm_1,,Yes,Yes
,,,,,,,,,,,S23,101,0,3,4,4,0,,0,0.11256,0.17783,0,,,,,___,____,,,
,,,,,,,,,,,S22,29,0,1,,,0,,0,0.04549,0,0,,,,,___,____,,,
8.7.2024,239,46,AH,,T4-C-1,vm,2,21.3,19.3,4,S24,51,7,7,,,0,,0.07049,0.02731,0,0,,,,,239_46_T4-C-1_vm,239_46_T4-C-1_vm_2,,Yes,Yes
,,,,,,,,,,,S23,65,0,8,3,3,0,,0,0.08185,0.20185,0,,,,,___,____,,,
,,,,,,,,,,,S22,49,0,5,,,0,,0,0.14079,0,0,,,,,___,____,,,
8.7.2024,239,46,AH,,T4-C-1,vm,3,24.1,23.2,4,S24,51,7,7,,,0,,0.04441,0.01892,0,0,,,,,239_46_T4-C-1_vm,239_46_T4-C-1_vm_3,,Yes,Yes
,,,,,,,,,,,S23,85,0,4,4,4,0,,0,0.08062,0.12554,0,,,,,___,____,,,
,,,,,,,,,,,S22,67,0,5,,,0,,0,0.11536,0,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vv,1,14.8,13.9,3,S24,31,12,13,,,0,,0.07192,0.00832,0,0,,,,,284_13_T31-C-1_vv,284_13_T31-C-1_vv_1,,Yes,Yes
,,,,,,,,,,,S23,41,10,14,,,0,,0.10556,0.02317,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,30,0,5,,,0,,0,0.02033,0,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vv,2,19.6,16.1,3,S24,60,13,14,,,0,,0.16645,0.02406,0,0,,,,,284_13_T31-C-1_vv,284_13_T31-C-1_vv_2,,Yes,Yes
,,,,,,,,,,,S23,50,8,13,,,0,,0.11198,0.04242,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,53,0,10,,,0,,0,0.0585,0,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vv,3,20.6,16.1,5,S24,39,11,12,,,0,,0.0845,0.01183,0,0,,,,,284_13_T31-C-1_vv,284_13_T31-C-1_vv_3,,Yes,Yes
,,,,,,,,,,,S23,38,9,11,,,0,,0.09435,0.01877,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,21,8,8,,,0,,0.05244,0.01132,0,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vm,1,16,15.9,4,S24,66,9,9,,,0,,0.04987,0.04616,0,0,,,,,284_13_T31-C-1_vm,284_13_T31-C-1_vm_1,,Yes,Yes
,,,,,,,,,,,S23,58,0,2,4,4,0,,0,0.12459,0.58695,0,,,,,___,____,,,
,,,,,,,,,,,S22,63,0,3,3,3,0,,0,0.10759,0.21304,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vm,2,19,19.8,5,S24,28,5,5,,,1,,0.03379,0.01112,0,0.01539,,,,,284_13_T31-C-1_vm,284_13_T31-C-1_vm_2,,Yes,Yes
,,,,,,,,,,,S23,63,0,7,4,4,0,,0,0.0618,0.1803,0,,,,,___,____,,,
,,,,,,,,,,,S22,70,0,4,3,3,0,,0,0.16697,0.37533,0,,,,,___,____,,,
8.7.2024,284,13,AH,,T31-C-1,vm,3,24,26,4,S24,93,20,10,,,0,,0.08813,0.08715,0,0,,,,,284_13_T31-C-1_vm,284_13_T31-C-1_vm_3,,Yes,Yes
,,,,,,,,,,,S23,35,0,4,1,1,0,,0,0.05231,0.13766,0,,,,,___,____,,,
,,,,,,,,,,,S22,51,0,5,1,1,0,,0,0.17316,0.41359,0,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vv,1,7.9,8.4,3,S24,8,10,11,,,0,,0.06861,0.00487,0,0,,,,,284_51_T31-C-5_vv,284_51_T31-C-5_vv_1,,Yes,Yes
,,,,,,,,,,,S23,24,11,13,,,0,,0.1464,0.01246,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,23,10,10,,,0,,0.13083,0.01861,0,0,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vv,2,9.7,8.1,3,S24,17,12,12,,,0,,0.07476,0.00535,0,0,,,,,284_51_T31-C-5_vv,284_51_T31-C-5_vv_2,,Yes,Yes
,,,,,,,,,,,S23,41,10,13,,,0,,0.07136,0.02683,0,,,,,,___,____,,,
,,,,,,,,,,,S22,21,0,5,,,0,,0,0.01231,0,0,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vv,3,NA,NA,NA,S24,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,"plant missing, had no 2024 leaves",,284_51_T31-C-5_vv,284_51_T31-C-5_vv_3,,No,No
,,,,,,,,,,,S23,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,___,____,,,
,,,,,,,,,,,S22,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vm,1,13.9,25.3,4,S24,136,7,7,,,0,,0.02386,0.01597,0,0,,,,,284_51_T31-C-5_vm,284_51_T31-C-5_vm_1,,Yes,
,,,,,,,,,,,S23,55,0,5,3,3,0,,0,0.06071,0.10655,0,,,,,___,____,,,
,,,,,,,,,,,S22,41,0,5,,,0,,0,0.04805,0,0,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vm,2,18.4,28,4,S24,165,7,7,,,0,,0.06508,0.03339,0,0,,,7 segments on oldest branch,,284_51_T31-C-5_vm,284_51_T31-C-5_vm_2,,Yes,
,,,,,,,,,,,S23,62,0,5,2,2,0,,0,0.08045,0.24115,0,,,,,___,____,,,
,,,,,,,,,,,S22,46,0,4,,,0,,0,0.08772,0,0,,,,,___,____,,,
8.7.2024,284,51,AH,,T31-C-5,vm,3,13.9,16.7,6,S24,20,5,5,,,0,,0.01902,0.00501,0,0,,,,,284_51_T31-C-5_vm,284_51_T31-C-5_vm_3,,Yes,
,,,,,,,,,,,S23,9,0,2,1,1,0,,0,0.00373,0.00996,0,,,,,___,____,,,
,,,,,,,,,,,S22,16,0,1,2,2,0,,0,0.00718,0.01427,0,,,,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vm,1,36,22.9,7,S24,50,9,9,,,0,,0.04627,0.02555,0,0,,,,,696_55_T31-C-4_vm,696_55_T31-C-4_vm_1,,Yes,Yes
,,,,,,,,,,,S23,45,0,2,2,2,0,,0,0.03894,0.1122,0,,,,,___,____,,,
,,,,,,,,,,,S22,30,0,1,2,1,0,,0,0.03303,0.21987,0,,,1 branch broken off,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vm,2,21.5,18,10,S24,15,6,6,,,0,,0.01045,0.00257,0,0,,,,,696_55_T31-C-4_vm,696_55_T31-C-4_vm_2,,Yes,Yes
,,,,,,,,,,,S23,24,0,3,2,2,0,,0,0.00867,0.01333,0,,,,,___,____,,,
,,,,,,,,,,,S22,21,0,2,3,3,0,,0,0.00817,0.03664,0,,,,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vm,3,34.5,19.3,8,S24,32,7,7,,,0,,0.0272,0.01273,0,0,,,,,696_55_T31-C-4_vm,696_55_T31-C-4_vm_3,,Yes,Yes
,,,,,,,,,,,S23,51,0,3,4,3,0,,0,0.03491,0.07891,0,,,"tip broken off, upper branch might have been eaten, broken off.",,___,____,,,
,,,,,,,,,,,S22,50,0,6,2,2,0,,0,0.04466,0.07098,0,,,,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vv,1,16.5,11.8,6,S24,22,12,12,,,0,,0.04859,0.00665,0,0,,,,,696_55_T31-C-4_vv,696_55_T31-C-4_vv_1,,Yes,Yes
,,,,,,,,,,,S23,54,9,14,1,1,0,,0.10763,0.03313,0.03448,0,,,,,___,____,,,
,,,,,,,,,,,S22,28,0,7,2,1,0,,0,0.02381,0.14186,0,,,1 branch broken off,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vv,2,23.5,13.9,4,S24,36,12,13,,,0,,0.04709,0.00812,0,0,,,,,696_55_T31-C-4_vv,696_55_T31-C-4_vv_2,,Yes,Yes
,,,,,,,,,,,S23,45,7,12,,,0,,0.04689,0.01795,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,14,0,4,,,0,,0,0.00639,0,0,,,,,___,____,,,
10.7.2024,696,55,AH,,T31-C-4,vv,3,17.5,14,5,S24,19,10,10,,,0,,0.03167,0.00359,0,0,,,,,696_55_T31-C-4_vv,696_55_T31-C-4_vv_3,,Yes,Yes
,,,,,,,,,,,S23,35,10,12,,,0,,0.08418,0.01242,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,28,5,11,,,0,,0.04843,0.01852,0,0,,,,,___,____,,,
10.7.2024,696,66,AH,,,vv,1,22.5,19.9,5,S24,39,10,17,,,0,,0.132,0.01401,0,0,,,,,696_66__vv,696_66__vv_1,,Yes,Yes
,,,,,,,,,,,S23,37,9,13,1,1,0,,0.21534,0.03068,0.13159,0,,,1 leaf and 1 branch coupled,,___,____,,,
,,,,,,,,,,,S22,41,7,13,,,0,,0.10851,0.04232,0,0,,,,,___,____,,,
10.7.2024,696,66,AH,,,vv,2,13,8.7,2,S24,26,12,12,,,0,,0.05776,0.00677,0,0,,,only 2 segments,,696_66__vv,696_66__vv_2,,Yes,Yes
,,,,,,,,,,,S23,57,5,11,,,0,,0.04009,0.02618,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,,,___,____,,,
10.7.2024,696,66,AH,,,vv,3,25.4,16.5,4,S24,29,11,14,,,0,,0.09406,0.0084,0,0,,,,,696_66__vv,696_66__vv_3,,Yes,Yes
,,,,,,,,,,,S23,40,10,15,,,0,,0.12362,0.02569,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,48,5,13,,,0,,0.07934,0.04726,0,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vm,1,29.9,25.4,5,S24,37,6,7,,,0,,0.03136,0.01848,0,0,,,,,718_55_T31-C-2_vm,718_55_T31-C-2_vm_1,,Yes,
,,,,,,,,,,,S23,117,0,3,5,5,0,,0,0.15649,0.35604,0,,,,,___,____,,,
,,,,,,,,,,,S22,117,0,6,4,4,0,,0,0.24377,0.36294,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vm,2,24.6,17.1,5,S24,78,9,9,,,0,,0.05298,0.03939,0,0,,,,,718_55_T31-C-2_vm,718_55_T31-C-2_vm_2,,Yes,
,,,,,,,,,,,S23,40,0,2,2,2,0,,0,0.04516,0.1202,0,,,,,___,____,,,
,,,,,,,,,,,S22,35,0,1,3,3,0,,0,0.0667,0.36283,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vm,3,22.4,21.3,8,S24,32,7,8,,,0,,0.03108,0.01315,0,0,,,,,718_55_T31-C-2_vm,718_55_T31-C-2_vm_3,,Yes,
,,,,,,,,,,,S23,14,0,3,,,0,,0,0.00566,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,29,0,2,3,3,0,,0,0.02125,0.06641,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vv,1,19.2,12.4,4,S24,36,13,16,,,0,,0.08743,0.01232,0,0,,,,,718_55_T31-C-2_vv,718_55_T31-C-2_vv_1,,Yes,
,,,,,,,,,,,S23,35,6,15,,,0,,0.03718,0.01835,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,35,4,9,,,0,,0.03884,0.03171,0,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vv,2,9,9,4,S24,24,9,11,,,0,,0.04603,0.00495,0,0,,,,,718_55_T31-C-2_vv,718_55_T31-C-2_vv_2,,Yes,
,,,,,,,,,,,S23,21,7,8,,,0,,0.05063,0.00736,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,21,0,12,,,0,,0,0.01033,0,0,,,,,___,____,,,
10.7.2024,718,55,AH,,T31-C-2,vv,3,11.1,8.8,2,S24,28,11,13,,,0,,0.09129,0.00862,,,,,only 2 segments,,718_55_T31-C-2_vv,718_55_T31-C-2_vv_3,,Yes,
,,,,,,,,,,,S23,56,8,13,4,4,0,,0.06861,0.04343,0.14638,0,,,,,___,____,,,
,,,,,,,,,,,S22,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vv,1,14.8,11.6,5,S24,22,10,12,,,0,,0.03978,0.00547,0,0,,,,,718_62_V1-C-5_vv,718_62_V1-C-5_vv_1,,Yes,
,,,,,,,,,,,S23,33,10,12,1,1,0,,0.09036,0.02027,0.01055,0,,,,,___,____,,,
,,,,,,,,,,,S22,20,1,9,,,0,,0.00946,0.01379,0,0,,,,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vv,2,13.2,12,3,S24,20,11,11,,,0,,0.04356,0.00445,0,0,,,,,718_62_V1-C-5_vv,718_62_V1-C-5_vv_2,,Yes,
,,,,,,,,,,,S23,45,11,15,,,0,,0.17347,0.02499,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,55,2,7,,,0,,0.01375,0.03412,0,0,,,,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vv,3,12.7,7.5,2,S24,35,9,12,,,0,,0.08638,0.00953,0,0,,,,,718_62_V1-C-5_vv,718_62_V1-C-5_vv_3,,Yes,
,,,,,,,,,,,S23,39,6,9,,,0,,0.04274,0.02297,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,only 2 segments,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vm,1,15,9.2,3,S24,21,6,6,,,0,,0.01137,0.00509,0,0,,,,,718_62_V1-C-5_vm,718_62_V1-C-5_vm_1,,Yes,
,,,,,,,,,,,S23,45,0,2,3,3,0,,0,0.02681,0.04268,0,,,,,___,____,,,
,,,,,,,,,,,S22,30,0,4,,,0,,0,0.02637,0,0,,,,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vm,2,10,8.9,2,S24,42,6,6,,,0,,0.02401,0.01712,0,0,,,,,718_62_V1-C-5_vm,718_62_V1-C-5_vm_2,,Yes,
,,,,,,,,,,,S23,48,0,4,3,1,0,,0,0.03688,0.01276,0,,,2 broken side branches,,___,____,,,
,,,,,,,,,,,S22,NA,NA,NA,,,NA,,NA,NA,NA,NA,,,only 2 segments,,___,____,,,
10.7.2024,718,62,AH,,V1-C-5,vm,3,15.1,13.1,5,S24,31,6,6,,,0,,0.02887,0.01445,0,0,,,,,718_62_V1-C-5_vm,718_62_V1-C-5_vm_3,,Yes,
,,,,,,,,,,,S23,54,0,3,2,1,0,,0,0.0439,0.02426,0,,,1 broken branch,,___,____,,,
,,,,,,,,,,,S22,32,0,2,2,1,0,,0,0.03471,0.08301,0,,,1 broken branch,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vm,1,19.4,19.7,5,S24,31,5,5,,,0,,0.9709,0.01068,0,0,,,,,622_35_T4-C-1_vm,622_35_T4-C-1_vm_1,,Yes,Yes
,,,,,,,,,,,S23,74,0,7,4,4,0,,0.07103,0.03561,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,52,0,7,1,1,0,,0,0.01671,0,0,,,,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vm,2,23.1,17.2,5,S24,43,5,5,,,0,,0.08925,0.00863,0,0,,,,,622_35_T4-C-1_vm,622_35_T4-C-1_vm_2,,Yes,Yes
,,,,,,,,,,,S23,69,0,3,3,3,0,,0.12529,0.01603,0.03999,0,,,,,___,____,,,
,,,,,,,,,,,S22,22,0,2,,,0,,0,0.03989,0,0,,,,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vm,3,21.7,16,5,S24,52,6,6,,,0,,0.07585,0.01294,0,0,,,,,622_35_T4-C-1_vm,622_35_T4-C-1_vm_3,,Yes,Yes
,,,,,,,,,,,S23,35,0,3,3,2,0,,0.09783,0.03725,0,0,,,1 broken branch,,___,____,,,
,,,,,,,,,,,S22,35,0,2,2,2,0,,0,0.02232,0,0,,,,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vv,1,17.6,12.2,3,S24,35,13,15,,,0,,0.0332,0.01496,0,0,,,,,622_35_T4-C-1_vv,622_35_T4-C-1_vv_1,,Yes,Yes
,,,,,,,,,,,S23,55,0,10,,,0,,0,0.07935,0.08397,0,,,,,___,____,,,
,,,,,,,,,,,S22,32,0,8,,,0,,0,0.10212,0.20559,0,,,,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vv,2,13.5,10.1,3,S24,25,13,15,,,0,,0.03505,0.02666,0,0,,,,,622_35_T4-C-1_vv,622_35_T4-C-1_vv_2,,Yes,Yes
,,,,,,,,,,,S23,25,7,11,1,1,0,,0,0.09967,0.19143,0,,,1 leaf and 1 branch coupled,,___,____,,,
,,,,,,,,,,,S22,48,0,11,,,0,,0,0.03487,0,0,,,,,___,____,,,
10.7.2024,622,35,AH,,T4-C-1,vv,3,21,16,3,S24,45,11,15,,,0,,0.04814,0.03307,0,0,,,,,622_35_T4-C-1_vv,622_35_T4-C-1_vv_3,,Yes,Yes
,,,,,,,,,,,S23,67,5,13,,,0,,0,0.0373,0.11751,0,,,,,___,____,,,
,,,,,,,,,,,S22,43,0,4,,,0,,0,0.04889,0.10514,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vm,1,23.1,15.4,4,S24,49,8,8,,,0,,0.05502,0.03153,0,0,,,,,622_46_T2-C-1_vm,622_46_T2-C-1_vm_1,,Yes,Yes
,,,,,,,,,,,S23,71,0,2,5,3,0,,0,0.10177,0.18513,0,,,2 broken branches,,___,____,,,
,,,,,,,,,,,S22,7,0,1,,,0,,0,0.016,0,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vm,2,12.5,11.9,5,S24,13,4,5,,,0,,0.00697,0.00209,0,0,,,,,622_46_T2-C-1_vm,622_46_T2-C-1_vm_2,,Yes,Yes
,,,,,,,,,,,S23,21,4,3,1,1,0,,0,0.00417,0.00179,0,,,,,___,____,,,
,,,,,,,,,,,S22,10,0,4,1,1,0,,0,0.00331,0.00871,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vm,3,16.3,17.4,6,S24,20,6,6,,,0,,0.02674,0.00648,0,0,,,,,622_46_T2-C-1_vm,622_46_T2-C-1_vm_3,,Yes,Yes
,,,,,,,,,,,S23,36,0,3,3,2,0,,0,0.02736,0.03911,0,,,1 broken branch,,___,____,,,
,,,,,,,,,,,S22,41,0,4,2,2,0,,0,0.04069,0.11638,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vv,1,15.5,11,7,S24,11,7,7,,,0,,0.01195,0.00134,0,0,,,,,622_46_T2-C-1_vv,622_46_T2-C-1_vv_1,,Yes,Yes
,,,,,,,,,,,S23,21,7,9,,,0,,0.08403,0.00659,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,20,3,5,,,0,,0.03304,0.00798,0,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vv,2,11.8,7.3,5,S24,7,8,8,,,0,,0.01449,0.00074,0,0,,,,,622_46_T2-C-1_vv,622_46_T2-C-1_vv_2,,Yes,Yes
,,,,,,,,,,,S23,19,6,7,,,0,,0.05628,0.00365,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,21,1,6,,,0,,0.01306,0.00806,0,0,,,,,___,____,,,
10.7.2024,622,46,AH,,T2-C-1,vv,3,13.6,11.9,5,S24,17,8,9,,,0,,0.09166,0.00551,0,0,,,,,622_46_T2-C-1_vv,622_46_T2-C-1_vv_3,,Yes,Yes
,,,,,,,,,,,S23,14,6,8,,,0,,0.04836,0.00254,0,0,,,,,___,____,,,
,,,,,,,,,,,S22,34,2,19,,,0,,0.01977,0.01711,0,0,,,,,___,____,,,
9.7.24,970,24,AH,,T31-C-1,vm,1,14.6,3.6,4,S24,24,8,8,,,,,,,0,,,,,,970_24_T31-C-1_vm,970_24_T31-C-1_vm_1,,Yes can be found below,
,,,,,,,,,,,S23,81,0,3,5,4,,,,,0,,,,1 broken branch,,___,____,,Yes can be found below,
,,,,,,,,,,,S22,25,0,1,,,,,,,0,,,,,,___,____,,Yes can be found below,
9.7.24,970,24,AH,,T31-C-1,vm,2,20.1,14.3,5,S24,31,8,8,,,,,,,0,,,,,,970_24_T31-C-1_vm,970_24_T31-C-1_vm_2,,Yes can be found below,
,,,,,,,,,,,S23,58,0,4,3,3,,,,,0,,,,,,___,____,,Yes can be found below,
,,,,,,,,,,,S22,41,0,4,1,1,,,,,0,,,,,,___,____,,Yes can be found below,
9.7.24,970,24,AH,,T31-C-1,vm,3,19.1,9.7,4,S24,42,7,7,,,,,,,0,,,,,,970_24_T31-C-1_vm,970_24_T31-C-1_vm_3,,Yes can be found below,
